text_name,english_translation,thai_translation
"nav.home","Home","หน้าหลัก"
"nav.map","Map","แผนที่"
"nav.all_reports","All Reports","รายการทั้งหมด"
"nav.report","Report","แจ้งข้อมูล"
"nav.my_reports","My Reports","รายการของฉัน"
"role.admin","Administrator","ผู้ดูแลระบบ"
"role.rescuer","Rescuer","ผู้ช่วยเหลือ"
"role.reporter","Reporter","ผู้แจ้งข้อมูล"
"mode.report","Report Mode","โหมดแจ้งข้อมูล"
"mode.rescue","Rescue Mode","โหมดช่วยเหลือ"
"auth.logout","Logout","ออกจากระบบ"
"auth.login.title","Sign In","เข้าสู่ระบบ"
"auth.login.description","Sign in with your Google account to help stray cats in our community","ลงชื่อเข้าใช้เพื่อแจ้งข้อมูล"
"auth.login.google","Sign in with Google","เข้าสู่ระบบด้วย Google"
"auth.login.loading","Signing in...","กำลังเข้าสู่ระบบ..."
"welcome.title","Welcome","ยินดีต้อนรับ"
"welcome.rescue","Thank you for helping stray cats in our community ♥","ร่วมกันช่วยเหลือแมวจรในชุมชนของเรา ♥"
"welcome.report","Thank you for reporting stray cats in our community ♥","ขอบคุณที่แจ้งข้อมูลแมวจรในชุมชนของเรา ♥"
"card.map.title","Map","แผนที่"
"card.map.description","View all stray cats","ดูตำแหน่งแมวจรทั้งหมด"
"card.all_reports.title","All Reports","รายงานทั้งหมด"
"card.all_reports.description","View all reports","ดูรายงานแมวจรทั้งหมด"
"card.my_reports.title","My Reports","รายงานของฉัน"
"card.my_reports.description","View my reports","ดูรายงานที่ฉันแจ้ง"
"card.new_report.title","Report Cat","แจ้งแมวจร"
"card.new_report.description","Report new stray cat","แจ้งข้อมูลแมวจรใหม่"
"card.stats.title","Recent Activity","สถิติล่าสุด"
"card.stats.recent","Recent Reports","จำนวนรายงานล่าสุด"
"card.stats.completed","Completed","ช่วยเหลือสำเร็จ"
"card.stats.pending","Pending","รอช่วยเหลือ"
"card.stats.loading","Loading...","กำลังโหลด"
"card.tips.title","Tips","เกร็ดความรู้"
"card.tips.content","When taking photos of stray cats, capture distinctive features like color, patterns or abnormalities to help with identification.","การถ่ายภาพแมวจรควรถ่ายให้เห็นลักษณะเด่นของแมว เช่น สี ลาย หรือความผิดปกติ เพื่อประโยชน์ในการติดตาม"
"form.title","Report Stray Cat","รายงานแมวจร"
"form.cat.number","Number of Cats","จำนวนแมว"
"form.cat.not_sure","Not sure","ไม่แน่ใจ"
"form.cat.type.label","Type","ประเภท"
"form.contact.phone","Contact Phone Number","เบอร์โทรติดต่อ"
"form.contact.english.label","Can you communicate in English? *","สามารถสื่อสารภาษาอังกฤษได้หรือไม่? *"
"form.contact.english.yes","Yes","ได้"
"form.contact.english.no","No","ไม่ได้"
"form.details.label","Additional Details (if any)","รายละเอียดเพิ่มเติม (ถ้ามี)"
"form.details.placeholder","e.g. Distinctive features, Environment, etc.","เช่น ลักษณะเด่นของแมว, สภาพแวดล้อม, ฯลฯ"
"form.images.label","Upload Images (max 3)","รูปภาพ (สูงสุด 3 รูป)"
"form.location.label","Location","ตำแหน่ง"
"form.location.select","Select Location on Map","เลือกตำแหน่งบนแผนที่"
"form.location.selected","Selected: ","เลือกแล้ว:"
"form.submit.button","Submit Report","ส่งรายงาน"
"form.submit.loading","Submitting Report...","กำลังส่งรายงาน..."
"form.submit.success","Report submitted successfully!","ส่งรายงานสำเร็จ!"
"form.submit.error","Report submission failed. Please try again.","ส่งรายงานไม่สำเร็จ โปรดลองอีกครั้ง"
"form.validation.location","Please specify the cat's location","กรุณาระบุตำแหน่งที่พบแมว"
"form.validation.english","Please specify your English communication ability","กรุณาระบุความสามารถในการสื่อสารภาษาอังกฤษ"
"form.disclaimer","We do our best to help every reported case of stray or injured cats. However, we cannot guarantee assistance in all situations due to limited resources. Thank you for your understanding.","เราจะพยายามอย่างเต็มที่ในการช่วยเหลือแมวจรที่ถูกรายงานเข้ามา แต่เนื่องจากทรัพยากรที่มีจำกัด เราไม่สามารถรับประกันได้ว่าทุกๆเคสจะได้รับการช่วยเหลือ ขอขอบคุณในความเข้าใจของคุณ"
"report.my_reports.title","My Reports","รายการแจ้งของฉัน"
"report.my_reports.empty","No reports yet","ยังไม่มีรายการแจ้ง"
"report.id","Report","รายงาน"
"report.cats","cats","ตัว"
"report.status.on_hold","On Hold","พักการดำเนินการ"
"report.status.pending","Pending","กำลังดำเนินการ"
"report.status.completed","Completed","เสร็จสิ้น"
"report.status.cancelled","Cancelled","ยกเลิก"
"report.status.cancelled.no_reason","No reason provided","ไม่พบเหตุผลการยกเลิก"
"report.actions.edit","Edit","แก้ไข"
"report.actions.cancel","Cancel","ยกเลิก"
"report.cancel.title","Cancel Report","ยกเลิกรายงาน"
"report.cancel.reason_placeholder","Please provide a reason for cancellation","กรุณาระบุเหตุผลการยกเลิก"
"report.cancel.confirm","Confirm Cancellation","ยืนยันการยกเลิก"
"common.cancel","Cancel","ยกเลิก"
"report.type","Type","ประเภท"
"report.number_of_cats","Number of Cats","จำนวนแมว"
"report.contact_phone","Contact Phone","เบอร์โทรติดต่อ"
"report.location","Location","ตำแหน่ง"
"report.description","Additional Details","รายละเอียดเพิ่มเติม"
"common.cat.type.stray","Stray Cat","แมวจร"
"common.cat.type.injured","Injured Cat","แมวบาดเจ็บ"
"common.cat.type.sick","Sick Cat","แมวป่วย"
"common.cat.type.kitten","Kitten","ลูกแมว"
"report.filter.status","Filter by Status","กรองตามสถานะ"
"report.filter.type","Filter by Type","กรองตามประเภท"
"report.filter.all_status","All Status","ทุกสถานะ"
"report.filter.all_type","All Types","ทุกประเภท"
"report.sort.by","Sort by","เรียงตาม"
"report.sort.order","Order","ลำดับ"
"report.sort.created_at","Created Date","วันที่สร้าง"
"report.sort.status","Status","สถานะ"
"report.sort.type","Type","ประเภท"
"report.sort.desc","Descending","มากไปน้อย"
"report.sort.asc","Ascending","น้อยไปมาก"
"report.view_map","View on Map","ดูบนแผนที่"
"report.update_status","Update Status","อัปเดตสถานะ"
"report.contact","Contact","เบอร์ติดต่อ"
"report.location","Location","สถานที่"
"report.created_at","Created At","วันที่สร้าง"
"report.images","Images","รูปภาพ"
"error.not_found.title","Page Not Found","ไม่พบหน้าที่ต้องการ"
"error.not_found.description","The page you are looking for might have been removed, had its name changed, or is temporarily unavailable.","หน้าที่คุณกำลังค้นหาอาจถูกลบ เปลี่ยนชื่อ หรือไม่สามารถเข้าถึงได้ชั่วคราว"
"error.not_found.go_back","Go Back","ย้อนกลับ"
"error.not_found.go_home","Go to Home","กลับหน้าหลัก"
